"","dates"
"1","2010-01-19"
"2","2010-04-19"
"3","2010-07-19"
"4","2010-10-18"
"5","2011-01-18"
"6","2011-04-19"
"7","2011-07-18"
"8","2011-10-17"
"9","2012-01-19"
"10","2012-04-17"
"11","2012-07-18"
"12","2012-10-16"
"13","2013-01-22"
"14","2013-04-18"
"15","2013-07-17"
"16","2013-10-16"
"17","2014-01-21"
"18","2014-04-16"
"19","2014-07-17"
"20","2014-10-17"
