"","dates"
"1","2010-07-22"
"2","2010-10-21"
"3","2011-01-27"
"4","2011-04-26"
"5","2011-07-26"
"6","2011-10-25"
"7","2012-01-31"
"8","2012-04-26"
"9","2012-07-26"
"10","2012-10-25"
"11","2013-01-29"
"12","2013-04-25"
"13","2013-07-25"
"14","2013-10-24"
"15","2014-01-30"
"16","2014-04-24"
"17","2014-07-24"
"18","2014-10-23"
