"","dates"
"1","2010-07-19"
"2","2010-10-18"
"3","2011-01-18"
"4","2011-04-18"
"5","2011-07-18"
"6","2011-10-17"
"7","2012-01-17"
"8","2012-04-16"
"9","2012-07-16"
"10","2012-10-15"
"11","2013-01-15"
"12","2013-04-15"
"13","2013-07-15"
"14","2013-10-16"
"15","2014-01-15"
"16","2014-04-16"
"17","2014-07-14"
"18","2014-10-15"
